Channel 0 Raw Value,Channel 0 Converted Value,Channel 1 Raw Value,Channel 1 Converted Value,Channel 2 Raw Value,Channel 2 Converted Value
770,24.7,781,23.7,752,26.5
768,24.9,771,24.6,786,23.2
771,24.6,782,23.6,742,27.5
756,26.1,777,24,762,25.5
777,24,753,26.4,770,24.7
784,23.4,776,24.1,769,24.8
771,24.6,768,24.9,768,24.9
768,24.9,768,24.9,796,22.2
766,25.1,756,26.1,776,24.1
760,25.7,765,25.2,759,25.8
754,26.3,749,26.8,768,24.9
749,26.8,756,26.1,782,23.6
777,24,783,23.5,768,24.9
752,26.5,770,24.7,768,24.9
759,25.8,782,23.6,758,25.9
755,26.2,774,24.3,766,25.1
776,24.1,775,24.2,758,25.9
781,23.7,761,25.6,762,25.5
763,25.4,766,25.1,773,24.4
921,10,1002,2.1,1003,2
922,9.9,1023,0,1023,0
981,4.1,1008,1.5,1003,2
838,18.1,874,14.6,977,4.5
91,91.1,881,13.9,899,12.1
4,99.6,no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,no_data,no_data
no_data,no_data,no_data,no_data,no_data,no_data
3,99.7,no_data,no_data,108,89.4
15,98.5,250,75.6,739,27.8
482,52.9,744,27.3,756,26.1
750,26.7,769,24.8,756,26.1
769,24.8,762,25.5,757,26
786,23.2,781,23.7,762,25.5
825,19.4,828,19.1,818,20
776,24.1,769,24.8,753,26.4
789,22.9,793,22.5,777,24
793,22.5,768,24.9,741,27.6
780,23.8,759,25.8,774,24.3
746,27.1,755,26.2,772,24.5
